epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.64674,0.6191,0.59458,0.6930,0.000100
2,0.59182,0.6979,0.57644,0.7102,0.000100
3,0.55608,0.7394,0.64664,0.6428,0.000100
4,0.52835,0.7702,0.53421,0.7622,0.000100
5,0.49954,0.8029,0.45736,0.8506,0.000100
6,0.47619,0.8283,0.46276,0.8414,0.000100
7,0.45882,0.8491,0.43286,0.8748,0.000100
8,0.44712,0.8586,0.42753,0.8776,0.000100
9,0.43258,0.8767,0.41819,0.8884,0.000100
10,0.42774,0.8794,0.43287,0.8740,0.000100
11,0.41433,0.8942,0.39896,0.9104,0.000080
12,0.41019,0.8988,0.39638,0.9140,0.000080
13,0.40700,0.9023,0.39790,0.9126,0.000080
14,0.40487,0.9038,0.39478,0.9136,0.000080
15,0.40049,0.9084,0.38715,0.9204,0.000080
16,0.39837,0.9107,0.39144,0.9202,0.000080
17,0.39459,0.9158,0.44298,0.8628,0.000080
18,0.39266,0.9173,0.40884,0.8998,0.000080
19,0.38879,0.9212,0.38847,0.9212,0.000080
20,0.38824,0.9206,0.39218,0.9178,0.000080
21,0.38551,0.9240,0.37514,0.9366,0.000064
22,0.38214,0.9285,0.37827,0.9304,0.000064
23,0.38077,0.9297,0.37782,0.9318,0.000064
24,0.37913,0.9310,0.37281,0.9388,0.000064
25,0.37529,0.9355,0.37989,0.9296,0.000064
26,0.37385,0.9372,0.38656,0.9238,0.000064
27,0.37342,0.9366,0.37890,0.9314,0.000064
28,0.37341,0.9369,0.36392,0.9462,0.000064
29,0.37088,0.9394,0.36774,0.9432,0.000064
30,0.37112,0.9387,0.36804,0.9436,0.000064
31,0.36787,0.9429,0.36225,0.9488,0.000051
32,0.36481,0.9467,0.36129,0.9502,0.000051
33,0.36388,0.9480,0.36205,0.9496,0.000051
34,0.36248,0.9502,0.37332,0.9364,0.000051
35,0.36547,0.9457,0.36900,0.9412,0.000051
36,0.36436,0.9469,0.36776,0.9426,0.000051
37,0.36299,0.9485,0.36541,0.9462,0.000051
38,0.36045,0.9511,0.36599,0.9458,0.000051
39,0.36068,0.9500,0.35972,0.9520,0.000051
40,0.35914,0.9522,0.37156,0.9392,0.000051
41,0.35788,0.9532,0.35845,0.9544,0.000041
42,0.35626,0.9550,0.35987,0.9516,0.000041
43,0.35429,0.9580,0.35693,0.9552,0.000041
44,0.35554,0.9555,0.35355,0.9582,0.000041
45,0.35441,0.9570,0.35730,0.9542,0.000041
46,0.35365,0.9578,0.35608,0.9568,0.000041
47,0.35258,0.9582,0.35938,0.9526,0.000041
48,0.35365,0.9579,0.35353,0.9586,0.000041
49,0.35189,0.9604,0.36631,0.9442,0.000041
50,0.35208,0.9598,0.35480,0.9562,0.000041
51,0.34965,0.9628,0.35452,0.9558,0.000033
52,0.35025,0.9616,0.36516,0.9460,0.000033
53,0.34820,0.9638,0.35344,0.9586,0.000033
54,0.34750,0.9645,0.35592,0.9554,0.000033
55,0.34814,0.9645,0.35085,0.9616,0.000033
56,0.34696,0.9649,0.35760,0.9558,0.000033
57,0.34692,0.9654,0.35502,0.9554,0.000033
58,0.34654,0.9659,0.35538,0.9560,0.000033
59,0.34774,0.9648,0.35430,0.9578,0.000033
60,0.34687,0.9650,0.35607,0.9570,0.000033
61,0.34492,0.9668,0.35299,0.9596,0.000026
62,0.34416,0.9677,0.35439,0.9574,0.000026
63,0.34393,0.9688,0.35175,0.9602,0.000026
64,0.34295,0.9697,0.35062,0.9618,0.000026
65,0.34216,0.9699,0.35120,0.9604,0.000026
66,0.34149,0.9717,0.35232,0.9598,0.000026
67,0.34250,0.9700,0.35276,0.9594,0.000026
68,0.34064,0.9718,0.35533,0.9572,0.000026
69,0.34146,0.9714,0.35279,0.9594,0.000026
70,0.34045,0.9721,0.35637,0.9556,0.000026
71,0.33916,0.9733,0.35671,0.9554,0.000021
72,0.33960,0.9728,0.35241,0.9580,0.000021
73,0.33912,0.9734,0.35129,0.9602,0.000021
74,0.33812,0.9740,0.34982,0.9616,0.000021
75,0.33721,0.9755,0.35205,0.9600,0.000021
76,0.33840,0.9735,0.35101,0.9598,0.000021
77,0.33699,0.9754,0.35128,0.9612,0.000021
78,0.33754,0.9750,0.35016,0.9608,0.000021
79,0.33769,0.9753,0.34971,0.9622,0.000021
80,0.33624,0.9765,0.35052,0.9608,0.000021
81,0.33439,0.9788,0.35246,0.9592,0.000017
82,0.33567,0.9768,0.35055,0.9608,0.000017
83,0.33582,0.9768,0.35047,0.9622,0.000017
84,0.33631,0.9760,0.35196,0.9590,0.000017
85,0.33420,0.9791,0.35041,0.9608,0.000017
86,0.33424,0.9782,0.35131,0.9604,0.000017
87,0.33422,0.9778,0.34941,0.9614,0.000017
88,0.33361,0.9795,0.35119,0.9608,0.000017
89,0.33344,0.9793,0.35075,0.9614,0.000017
90,0.33575,0.9764,0.34906,0.9630,0.000017
91,0.33280,0.9802,0.35255,0.9586,0.000013
92,0.33203,0.9805,0.34837,0.9636,0.000013
93,0.33318,0.9791,0.34803,0.9644,0.000013
94,0.33116,0.9823,0.34910,0.9638,0.000013
95,0.33183,0.9809,0.34829,0.9618,0.000013
96,0.33121,0.9822,0.34837,0.9642,0.000013
97,0.33242,0.9804,0.35480,0.9568,0.000013
98,0.33131,0.9817,0.34874,0.9628,0.000013
99,0.33071,0.9819,0.35142,0.9594,0.000013
100,0.33156,0.9816,0.35255,0.9600,0.000013
101,0.33145,0.9810,0.35120,0.9600,0.000011
102,0.33043,0.9824,0.34817,0.9648,0.000011
103,0.33114,0.9817,0.34722,0.9646,0.000011
104,0.33030,0.9831,0.34799,0.9638,0.000011
105,0.33041,0.9826,0.34914,0.9620,0.000011
106,0.32892,0.9841,0.34632,0.9656,0.000011
107,0.33072,0.9825,0.34874,0.9634,0.000011
108,0.33015,0.9826,0.34941,0.9626,0.000011
109,0.32953,0.9842,0.34820,0.9638,0.000011
110,0.33001,0.9833,0.34807,0.9628,0.000011
111,0.32947,0.9836,0.34863,0.9632,0.000009
112,0.32851,0.9847,0.34720,0.9656,0.000009
113,0.32839,0.9846,0.34812,0.9640,0.000009
114,0.32802,0.9852,0.34906,0.9624,0.000009
115,0.32793,0.9853,0.34875,0.9628,0.000009
116,0.32836,0.9842,0.34994,0.9614,0.000009
117,0.32839,0.9848,0.34893,0.9616,0.000009
118,0.32757,0.9857,0.34897,0.9634,0.000009
119,0.32722,0.9859,0.34914,0.9618,0.000009
120,0.32715,0.9859,0.34797,0.9640,0.000009
