epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.63813,0.6402,0.64770,0.6328,0.000100
2,0.59580,0.6956,0.61673,0.6780,0.000100
3,0.56765,0.7295,0.59463,0.7012,0.000100
4,0.54169,0.7567,0.57304,0.7238,0.000100
5,0.51469,0.7862,0.57676,0.7212,0.000100
6,0.50381,0.7986,0.51708,0.7842,0.000100
7,0.48941,0.8152,0.49783,0.8028,0.000100
8,0.47387,0.8312,0.52679,0.7756,0.000100
9,0.46537,0.8409,0.55713,0.7466,0.000100
10,0.44857,0.8573,0.51018,0.7892,0.000100
11,0.42982,0.8787,0.48841,0.8144,0.000080
12,0.41402,0.8950,0.47065,0.8346,0.000080
13,0.40975,0.8990,0.51829,0.7858,0.000080
14,0.40434,0.9050,0.47524,0.8298,0.000080
15,0.38824,0.9230,0.47362,0.8318,0.000080
16,0.38443,0.9266,0.49071,0.8146,0.000080
17,0.37916,0.9316,0.48020,0.8240,0.000080
18,0.37775,0.9333,0.47366,0.8308,0.000080
19,0.37113,0.9405,0.45345,0.8526,0.000080
20,0.36701,0.9446,0.46140,0.8442,0.000080
21,0.35395,0.9579,0.45343,0.8540,0.000064
22,0.34657,0.9664,0.44552,0.8624,0.000064
23,0.34629,0.9659,0.45181,0.8562,0.000064
24,0.34367,0.9694,0.47726,0.8306,0.000064
25,0.34131,0.9714,0.45234,0.8548,0.000064
26,0.34052,0.9725,0.46334,0.8464,0.000064
27,0.34243,0.9697,0.43897,0.8698,0.000064
28,0.33903,0.9733,0.44998,0.8568,0.000064
29,0.33859,0.9741,0.44674,0.8608,0.000064
30,0.33600,0.9770,0.45426,0.8534,0.000064
31,0.33385,0.9789,0.45318,0.8550,0.000051
32,0.33205,0.9809,0.44807,0.8606,0.000051
33,0.32973,0.9831,0.44231,0.8668,0.000051
34,0.33179,0.9811,0.44409,0.8650,0.000051
35,0.32782,0.9853,0.43964,0.8694,0.000051
36,0.32877,0.9841,0.44733,0.8620,0.000051
37,0.32999,0.9831,0.44649,0.8612,0.000051
38,0.32747,0.9856,0.44913,0.8592,0.000051
39,0.32774,0.9853,0.44770,0.8616,0.000051
40,0.32881,0.9838,0.43903,0.8700,0.000051
41,0.32535,0.9876,0.44795,0.8604,0.000041
42,0.32380,0.9896,0.43136,0.8772,0.000041
43,0.32257,0.9907,0.44825,0.8586,0.000041
44,0.32254,0.9905,0.44052,0.8692,0.000041
45,0.32292,0.9902,0.44059,0.8692,0.000041
46,0.32430,0.9886,0.43897,0.8692,0.000041
47,0.32281,0.9903,0.44310,0.8654,0.000041
48,0.32270,0.9905,0.43881,0.8702,0.000041
49,0.32337,0.9893,0.43844,0.8700,0.000041
50,0.32253,0.9909,0.43624,0.8736,0.000041
51,0.32024,0.9929,0.43351,0.8764,0.000033
52,0.32136,0.9918,0.43747,0.8712,0.000033
53,0.32026,0.9930,0.43025,0.8790,0.000033
54,0.31938,0.9940,0.43216,0.8778,0.000033
55,0.32076,0.9926,0.43747,0.8706,0.000033
56,0.32081,0.9925,0.43601,0.8726,0.000033
57,0.32251,0.9907,0.43229,0.8772,0.000033
58,0.32020,0.9932,0.43509,0.8748,0.000033
59,0.31977,0.9935,0.45582,0.8532,0.000033
60,0.32108,0.9920,0.43654,0.8738,0.000033
61,0.32001,0.9932,0.43097,0.8798,0.000026
62,0.31898,0.9942,0.43203,0.8760,0.000026
63,0.31998,0.9936,0.43015,0.8788,0.000026
64,0.31904,0.9942,0.43203,0.8770,0.000026
65,0.31857,0.9947,0.46375,0.8464,0.000026
66,0.31980,0.9935,0.43713,0.8708,0.000026
67,0.31851,0.9949,0.42956,0.8802,0.000026
68,0.31864,0.9947,0.43269,0.8788,0.000026
69,0.31980,0.9932,0.43034,0.8792,0.000026
70,0.31874,0.9946,0.43815,0.8696,0.000026
71,0.31830,0.9950,0.42714,0.8820,0.000021
72,0.31810,0.9952,0.42866,0.8820,0.000021
73,0.31758,0.9958,0.42832,0.8818,0.000021
74,0.31769,0.9957,0.42848,0.8806,0.000021
75,0.31771,0.9957,0.42942,0.8800,0.000021
76,0.31796,0.9953,0.43330,0.8778,0.000021
77,0.31857,0.9946,0.43506,0.8740,0.000021
78,0.31797,0.9953,0.42665,0.8826,0.000021
79,0.31839,0.9951,0.42751,0.8824,0.000021
80,0.31751,0.9959,0.42640,0.8848,0.000021
81,0.31764,0.9957,0.43245,0.8772,0.000017
82,0.31803,0.9952,0.43593,0.8740,0.000017
83,0.31775,0.9956,0.42428,0.8852,0.000017
84,0.31796,0.9953,0.42596,0.8844,0.000017
85,0.31780,0.9954,0.42511,0.8850,0.000017
86,0.31775,0.9956,0.42702,0.8812,0.000017
87,0.31830,0.9950,0.43159,0.8766,0.000017
88,0.31808,0.9952,0.42886,0.8816,0.000017
89,0.31764,0.9958,0.42753,0.8820,0.000017
90,0.31734,0.9960,0.43214,0.8778,0.000017
91,0.31760,0.9958,0.42468,0.8852,0.000013
92,0.31738,0.9960,0.42845,0.8828,0.000013
93,0.31728,0.9960,0.43126,0.8778,0.000013
94,0.31725,0.9960,0.42976,0.8800,0.000013
95,0.31725,0.9960,0.43184,0.8780,0.000013
96,0.31728,0.9960,0.44295,0.8658,0.000013
97,0.31745,0.9958,0.43254,0.8764,0.000013
98,0.31746,0.9959,0.42958,0.8816,0.000013
99,0.31744,0.9959,0.43393,0.8766,0.000013
100,0.31757,0.9957,0.43023,0.8802,0.000013
101,0.31724,0.9960,0.42825,0.8806,0.000011
102,0.31724,0.9960,0.43114,0.8778,0.000011
103,0.31726,0.9960,0.42945,0.8810,0.000011
104,0.31719,0.9960,0.42750,0.8832,0.000011
105,0.31744,0.9959,0.43018,0.8792,0.000011
106,0.31728,0.9960,0.42510,0.8846,0.000011
107,0.31720,0.9961,0.42219,0.8868,0.000011
108,0.31717,0.9961,0.42283,0.8878,0.000011
109,0.31735,0.9959,0.43375,0.8758,0.000011
110,0.31753,0.9957,0.42740,0.8822,0.000011
111,0.31728,0.9960,0.42395,0.8860,0.000009
112,0.31719,0.9960,0.42247,0.8886,0.000009
113,0.31735,0.9960,0.42486,0.8844,0.000009
114,0.31719,0.9960,0.42457,0.8860,0.000009
115,0.31724,0.9960,0.42587,0.8832,0.000009
116,0.31724,0.9960,0.43185,0.8774,0.000009
117,0.31730,0.9960,0.42605,0.8844,0.000009
118,0.31713,0.9961,0.42550,0.8852,0.000009
119,0.31713,0.9961,0.42870,0.8806,0.000009
120,0.31724,0.9960,0.43152,0.8772,0.000009
121,0.31728,0.9960,0.42908,0.8798,0.000007
122,0.31712,0.9962,0.42764,0.8824,0.000007
123,0.31719,0.9960,0.42913,0.8802,0.000007
124,0.31709,0.9962,0.42985,0.8790,0.000007
125,0.31705,0.9962,0.43094,0.8794,0.000007
126,0.31707,0.9962,0.42611,0.8836,0.000007
127,0.31699,0.9963,0.42764,0.8808,0.000007
128,0.31706,0.9962,0.42579,0.8848,0.000007
129,0.31697,0.9963,0.42486,0.8858,0.000007
130,0.31703,0.9962,0.42857,0.8810,0.000007
131,0.31703,0.9962,0.42716,0.8830,0.000005
132,0.31701,0.9962,0.43057,0.8790,0.000005
133,0.31701,0.9962,0.42888,0.8792,0.000005
134,0.31698,0.9963,0.42793,0.8796,0.000005
135,0.31698,0.9963,0.42918,0.8808,0.000005
136,0.31699,0.9963,0.42778,0.8812,0.000005
137,0.31705,0.9962,0.42638,0.8834,0.000005
138,0.31705,0.9962,0.43280,0.8770,0.000005
139,0.31705,0.9962,0.43120,0.8784,0.000005
140,0.31702,0.9962,0.42851,0.8806,0.000005
141,0.31706,0.9962,0.43158,0.8774,0.000004
142,0.31701,0.9963,0.42634,0.8834,0.000004
143,0.31696,0.9963,0.42597,0.8856,0.000004
144,0.31703,0.9962,0.43025,0.8792,0.000004
145,0.31696,0.9963,0.42999,0.8796,0.000004
146,0.31693,0.9963,0.42778,0.8828,0.000004
147,0.31694,0.9963,0.42738,0.8828,0.000004
148,0.31688,0.9964,0.42783,0.8836,0.000004
149,0.31690,0.9963,0.42797,0.8806,0.000004
150,0.31688,0.9964,0.42937,0.8812,0.000004
151,0.31689,0.9964,0.42993,0.8792,0.000004
152,0.31682,0.9964,0.42962,0.8786,0.000004
153,0.31683,0.9964,0.42879,0.8808,0.000004
154,0.31682,0.9964,0.42871,0.8802,0.000004
155,0.31682,0.9964,0.42913,0.8800,0.000004
156,0.31683,0.9964,0.42957,0.8790,0.000004
157,0.31689,0.9963,0.42847,0.8818,0.000004
158,0.31686,0.9964,0.42597,0.8852,0.000004
159,0.31682,0.9964,0.42584,0.8834,0.000004
160,0.31686,0.9964,0.42744,0.8812,0.000004
161,0.31681,0.9964,0.42658,0.8828,0.000003
162,0.31686,0.9964,0.42674,0.8826,0.000003
163,0.31690,0.9964,0.42676,0.8832,0.000003
164,0.31682,0.9964,0.42681,0.8810,0.000003
165,0.31682,0.9964,0.42629,0.8834,0.000003
166,0.31682,0.9964,0.42711,0.8832,0.000003
167,0.31682,0.9964,0.42695,0.8822,0.000003
168,0.31681,0.9964,0.42695,0.8818,0.000003
169,0.31682,0.9964,0.42772,0.8816,0.000003
170,0.31682,0.9964,0.42636,0.8840,0.000003
171,0.31682,0.9964,0.42623,0.8836,0.000002
172,0.31682,0.9964,0.42734,0.8826,0.000002
173,0.31688,0.9963,0.42664,0.8828,0.000002
174,0.31682,0.9964,0.42649,0.8844,0.000002
175,0.31682,0.9964,0.42540,0.8866,0.000002
176,0.31681,0.9964,0.42505,0.8852,0.000002
177,0.31682,0.9964,0.42582,0.8842,0.000002
178,0.31682,0.9964,0.42412,0.8860,0.000002
179,0.31683,0.9964,0.42352,0.8878,0.000002
180,0.31681,0.9964,0.42578,0.8830,0.000002
181,0.31684,0.9964,0.42479,0.8862,0.000002
182,0.31682,0.9964,0.42503,0.8844,0.000002
183,0.31681,0.9964,0.42461,0.8856,0.000002
184,0.31682,0.9964,0.42522,0.8834,0.000002
185,0.31682,0.9964,0.42566,0.8854,0.000002
186,0.31681,0.9964,0.42582,0.8850,0.000002
187,0.31681,0.9964,0.42383,0.8856,0.000002
188,0.31681,0.9964,0.42425,0.8860,0.000002
189,0.31683,0.9964,0.42445,0.8856,0.000002
190,0.31686,0.9964,0.42607,0.8836,0.000002
191,0.31682,0.9964,0.42485,0.8864,0.000001
192,0.31681,0.9964,0.42500,0.8844,0.000001
193,0.31681,0.9964,0.42518,0.8858,0.000001
194,0.31681,0.9964,0.42583,0.8836,0.000001
195,0.31681,0.9964,0.42537,0.8858,0.000001
196,0.31681,0.9964,0.42383,0.8886,0.000001
197,0.31682,0.9964,0.42591,0.8838,0.000001
198,0.31681,0.9964,0.42494,0.8852,0.000001
199,0.31681,0.9964,0.42502,0.8860,0.000001
200,0.31681,0.9964,0.42467,0.8836,0.000001
