epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.68137,0.5633,0.68241,0.5626,0.001000
2,0.66322,0.5934,0.68200,0.5396,0.001000
3,0.65793,0.6064,0.66937,0.5598,0.001000
4,0.65080,0.6165,0.67660,0.5994,0.001000
5,0.64075,0.6348,0.79931,0.5018,0.001000
6,0.63408,0.6457,0.63924,0.6304,0.001000
7,0.61584,0.6702,0.74301,0.5488,0.001000
8,0.59956,0.6887,0.64317,0.6388,0.001000
9,0.58982,0.7015,0.62141,0.6686,0.001000
10,0.57091,0.7229,0.54965,0.7510,0.001000
11,0.55266,0.7450,0.72514,0.5772,0.000800
12,0.54183,0.7571,0.54565,0.7552,0.000800
13,0.53403,0.7643,0.52762,0.7748,0.000800
14,0.52376,0.7747,0.49994,0.8014,0.000800
15,0.51380,0.7848,0.48536,0.8182,0.000800
16,0.50693,0.7945,0.50224,0.7994,0.000800
17,0.50098,0.8022,0.52937,0.7748,0.000800
18,0.49381,0.8074,0.46675,0.8376,0.000800
19,0.48459,0.8187,0.47818,0.8286,0.000800
20,0.47728,0.8262,0.47160,0.8294,0.000800
21,0.46668,0.8373,0.45353,0.8530,0.000640
22,0.46615,0.8387,0.48795,0.8152,0.000640
23,0.45783,0.8469,0.44587,0.8588,0.000640
24,0.45451,0.8517,0.48322,0.8200,0.000640
25,0.45539,0.8489,0.45063,0.8532,0.000640
26,0.44653,0.8600,0.48017,0.8234,0.000640
27,0.44869,0.8568,0.44516,0.8632,0.000640
28,0.43776,0.8690,0.42765,0.8802,0.000640
29,0.43886,0.8666,0.42114,0.8866,0.000640
