epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.70758,0.5043,0.70499,0.5000,0.001000
2,0.69896,0.5181,0.70256,0.5094,0.001000
3,0.68691,0.5464,0.67818,0.5638,0.001000
4,0.68193,0.5650,0.68233,0.5690,0.001000
5,0.67834,0.5690,0.67004,0.5922,0.001000
6,0.67230,0.5834,0.69049,0.5550,0.001000
7,0.67488,0.5827,0.68115,0.5662,0.001000
8,0.66414,0.5988,0.67595,0.5782,0.001000
9,0.66523,0.5961,0.65828,0.6140,0.001000
10,0.66410,0.5991,0.67314,0.5808,0.001000
11,0.66280,0.6020,0.64971,0.6226,0.000800
12,0.65805,0.6073,0.65434,0.6124,0.000800
13,0.65594,0.6113,0.64414,0.6236,0.000800
14,0.65504,0.6113,0.63870,0.6384,0.000800
15,0.64993,0.6206,0.64809,0.6164,0.000800
16,0.64341,0.6323,0.68358,0.5840,0.000800
17,0.64340,0.6324,0.63798,0.6378,0.000800
18,0.63304,0.6468,0.63314,0.6506,0.000800
19,0.62782,0.6537,0.63598,0.6402,0.000800
20,0.62852,0.6507,0.60430,0.6858,0.000800
21,0.62307,0.6586,0.61421,0.6740,0.000640
22,0.62054,0.6629,0.62795,0.6586,0.000640
23,0.61402,0.6712,0.60394,0.6792,0.000640
24,0.61298,0.6702,0.60155,0.6862,0.000640
25,0.61556,0.6682,0.61057,0.6786,0.000640
26,0.60676,0.6778,0.59136,0.7030,0.000640
27,0.60641,0.6800,0.59245,0.6972,0.000640
28,0.60024,0.6873,0.56915,0.7226,0.000640
29,0.59868,0.6918,0.57158,0.7226,0.000640
30,0.59711,0.6896,0.56258,0.7320,0.000640
31,0.58833,0.7017,0.57028,0.7206,0.000512
32,0.58576,0.7032,0.55952,0.7386,0.000512
33,0.58412,0.7047,0.56053,0.7374,0.000512
34,0.58328,0.7075,0.57067,0.7284,0.000512
35,0.58048,0.7096,0.54976,0.7464,0.000512
36,0.57732,0.7161,0.56037,0.7338,0.000512
37,0.57233,0.7204,0.54140,0.7600,0.000512
38,0.56501,0.7303,0.54035,0.7582,0.000512
39,0.56395,0.7306,0.55670,0.7386,0.000512
40,0.56728,0.7276,0.52359,0.7786,0.000512
41,0.55646,0.7382,0.61403,0.6776,0.000410
42,0.55493,0.7419,0.52678,0.7716,0.000410
43,0.55295,0.7413,0.52416,0.7764,0.000410
44,0.54865,0.7487,0.52326,0.7760,0.000410
45,0.55050,0.7449,0.52007,0.7794,0.000410
46,0.54734,0.7487,0.51739,0.7850,0.000410
47,0.54445,0.7534,0.52769,0.7764,0.000410
48,0.54244,0.7568,0.51974,0.7812,0.000410
49,0.53839,0.7585,0.51857,0.7818,0.000410
50,0.53975,0.7572,0.52187,0.7764,0.000410
51,0.53545,0.7627,0.51322,0.7844,0.000328
52,0.53319,0.7644,0.51339,0.7888,0.000328
53,0.53323,0.7641,0.52592,0.7736,0.000328
54,0.53037,0.7682,0.53905,0.7598,0.000328
55,0.53004,0.7686,0.50380,0.7972,0.000328
56,0.52920,0.7706,0.50469,0.7972,0.000328
57,0.52345,0.7758,0.50434,0.7942,0.000328
58,0.52549,0.7742,0.50531,0.7960,0.000328
59,0.52527,0.7725,0.51688,0.7832,0.000328
60,0.52065,0.7808,0.50258,0.7970,0.000328
61,0.51731,0.7831,0.49429,0.8076,0.000262
62,0.51695,0.7842,0.49612,0.8056,0.000262
63,0.51517,0.7850,0.49861,0.8022,0.000262
64,0.51573,0.7850,0.49585,0.8076,0.000262
65,0.51472,0.7849,0.50112,0.7962,0.000262
66,0.51186,0.7897,0.49677,0.8044,0.000262
67,0.51015,0.7909,0.48814,0.8148,0.000262
68,0.50898,0.7904,0.48811,0.8138,0.000262
69,0.51006,0.7914,0.48787,0.8184,0.000262
70,0.50755,0.7939,0.48957,0.8136,0.000262
71,0.50670,0.7940,0.48426,0.8166,0.000210
72,0.50030,0.8031,0.48308,0.8188,0.000210
73,0.50439,0.7970,0.50280,0.8028,0.000210
74,0.50259,0.7995,0.48509,0.8170,0.000210
75,0.49737,0.8051,0.47798,0.8266,0.000210
76,0.50213,0.7992,0.48330,0.8176,0.000210
77,0.50253,0.7987,0.48819,0.8160,0.000210
78,0.50002,0.8011,0.47713,0.8258,0.000210
79,0.49956,0.8017,0.47634,0.8276,0.000210
80,0.49898,0.8035,0.48358,0.8212,0.000210
81,0.49303,0.8102,0.47576,0.8308,0.000168
82,0.49730,0.8033,0.47792,0.8264,0.000168
83,0.49594,0.8064,0.47345,0.8322,0.000168
84,0.49364,0.8089,0.50339,0.7958,0.000168
85,0.49396,0.8069,0.48084,0.8238,0.000168
86,0.49549,0.8070,0.47419,0.8288,0.000168
87,0.49381,0.8101,0.47501,0.8302,0.000168
88,0.49362,0.8088,0.46703,0.8362,0.000168
89,0.49283,0.8100,0.48530,0.8170,0.000168
90,0.49183,0.8121,0.51679,0.7856,0.000168
91,0.48826,0.8144,0.46806,0.8324,0.000134
92,0.48598,0.8182,0.48596,0.8180,0.000134
93,0.48688,0.8159,0.46880,0.8344,0.000134
94,0.48605,0.8173,0.47670,0.8276,0.000134
95,0.48675,0.8164,0.48166,0.8222,0.000134
96,0.48448,0.8201,0.47170,0.8332,0.000134
97,0.48510,0.8187,0.46646,0.8384,0.000134
98,0.48586,0.8176,0.47531,0.8296,0.000134
99,0.48622,0.8165,0.46402,0.8410,0.000134
100,0.48550,0.8168,0.46103,0.8452,0.000134
101,0.48309,0.8208,0.46498,0.8392,0.000107
102,0.48425,0.8188,0.46557,0.8392,0.000107
103,0.47978,0.8256,0.46319,0.8426,0.000107
104,0.48068,0.8236,0.46325,0.8446,0.000107
105,0.47927,0.8253,0.46404,0.8400,0.000107
106,0.47620,0.8285,0.46302,0.8440,0.000107
107,0.47929,0.8229,0.46865,0.8366,0.000107
108,0.47887,0.8259,0.47488,0.8296,0.000107
109,0.48067,0.8227,0.45978,0.8432,0.000107
110,0.48048,0.8218,0.46507,0.8400,0.000107
111,0.47818,0.8252,0.45771,0.8466,0.000086
112,0.47536,0.8297,0.46599,0.8406,0.000086
113,0.47770,0.8270,0.45816,0.8482,0.000086
114,0.47682,0.8262,0.45939,0.8468,0.000086
115,0.47519,0.8293,0.47039,0.8346,0.000086
116,0.47857,0.8245,0.45872,0.8440,0.000086
117,0.47782,0.8243,0.45780,0.8468,0.000086
118,0.47223,0.8322,0.45494,0.8528,0.000086
119,0.47641,0.8264,0.46374,0.8442,0.000086
120,0.47549,0.8310,0.45268,0.8542,0.000086
121,0.47792,0.8260,0.45360,0.8520,0.000069
122,0.47522,0.8283,0.46006,0.8460,0.000069
123,0.47464,0.8302,0.46780,0.8372,0.000069
124,0.47256,0.8337,0.45702,0.8496,0.000069
125,0.47207,0.8329,0.45377,0.8508,0.000069
126,0.47232,0.8327,0.45146,0.8552,0.000069
127,0.47157,0.8336,0.45516,0.8468,0.000069
128,0.47121,0.8331,0.45824,0.8484,0.000069
129,0.46876,0.8367,0.45333,0.8512,0.000069
130,0.47241,0.8300,0.45427,0.8492,0.000069
131,0.47056,0.8338,0.45502,0.8494,0.000055
132,0.47249,0.8323,0.45340,0.8522,0.000055
133,0.47420,0.8297,0.45327,0.8526,0.000055
134,0.47127,0.8334,0.45203,0.8534,0.000055
135,0.47057,0.8346,0.45522,0.8522,0.000055
136,0.47195,0.8331,0.45346,0.8538,0.000055
137,0.46773,0.8378,0.45081,0.8540,0.000055
138,0.47015,0.8341,0.45389,0.8494,0.000055
139,0.46901,0.8347,0.45731,0.8504,0.000055
140,0.46772,0.8367,0.45286,0.8518,0.000055
141,0.46744,0.8375,0.45884,0.8462,0.000044
142,0.46676,0.8381,0.45136,0.8562,0.000044
143,0.46455,0.8404,0.45196,0.8532,0.000044
144,0.46910,0.8354,0.44890,0.8568,0.000044
145,0.46675,0.8387,0.46554,0.8382,0.000044
146,0.46977,0.8342,0.45457,0.8484,0.000044
147,0.46766,0.8361,0.45358,0.8522,0.000044
148,0.46786,0.8376,0.45071,0.8562,0.000044
149,0.46768,0.8375,0.45224,0.8528,0.000044
150,0.46880,0.8349,0.45118,0.8530,0.000044
151,0.46910,0.8348,0.44920,0.8566,0.000035
152,0.46677,0.8388,0.45295,0.8540,0.000035
153,0.46573,0.8387,0.45132,0.8554,0.000035
154,0.46619,0.8393,0.45442,0.8504,0.000035
155,0.46365,0.8422,0.45118,0.8546,0.000035
156,0.46824,0.8371,0.44844,0.8574,0.000035
157,0.46805,0.8355,0.44981,0.8574,0.000035
158,0.46582,0.8392,0.44968,0.8556,0.000035
159,0.46494,0.8408,0.45062,0.8528,0.000035
160,0.46662,0.8381,0.44837,0.8568,0.000035
161,0.46307,0.8413,0.45043,0.8590,0.000028
162,0.46750,0.8379,0.44704,0.8576,0.000028
163,0.46473,0.8399,0.45057,0.8548,0.000028
164,0.46478,0.8398,0.45035,0.8542,0.000028
165,0.46727,0.8377,0.44891,0.8570,0.000028
166,0.46434,0.8411,0.44876,0.8558,0.000028
167,0.46489,0.8396,0.44683,0.8594,0.000028
168,0.46408,0.8407,0.44644,0.8602,0.000028
169,0.46518,0.8410,0.44713,0.8584,0.000028
170,0.46529,0.8395,0.44733,0.8600,0.000028
171,0.46229,0.8438,0.45308,0.8542,0.000023
172,0.46267,0.8445,0.44783,0.8552,0.000023
173,0.46071,0.8457,0.44763,0.8552,0.000023
174,0.46300,0.8438,0.44952,0.8566,0.000023
175,0.46281,0.8419,0.44748,0.8584,0.000023
176,0.46512,0.8385,0.45106,0.8564,0.000023
177,0.46316,0.8412,0.44694,0.8544,0.000023
178,0.46447,0.8405,0.44859,0.8598,0.000023
179,0.46541,0.8396,0.44689,0.8556,0.000023
