epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.68378,0.5488,0.65247,0.6026,0.000100
2,0.66341,0.5897,0.64965,0.6094,0.000100
3,0.65696,0.5894,0.64005,0.6292,0.000100
4,0.64659,0.6223,0.63345,0.6432,0.000100
5,0.62898,0.6495,0.61025,0.6766,0.000100
6,0.61063,0.6764,0.58216,0.7098,0.000100
7,0.59195,0.6986,0.59287,0.6912,0.000100
8,0.58007,0.7132,0.54325,0.7576,0.000100
9,0.56703,0.7298,0.54048,0.7556,0.000100
10,0.55373,0.7438,0.51878,0.7812,0.000100
11,0.52039,0.7792,0.49443,0.8060,0.000080
12,0.50856,0.7925,0.51277,0.7896,0.000080
13,0.49628,0.8052,0.50663,0.7948,0.000080
14,0.47693,0.8284,0.47201,0.8344,0.000080
15,0.47006,0.8349,0.49934,0.8032,0.000080
16,0.45470,0.8508,0.46598,0.8390,0.000080
17,0.45120,0.8552,0.43704,0.8724,0.000080
18,0.44317,0.8638,0.44268,0.8658,0.000080
19,0.43725,0.8685,0.42005,0.8892,0.000080
20,0.42696,0.8798,0.46887,0.8366,0.000080
21,0.41495,0.8932,0.40319,0.9066,0.000064
22,0.41249,0.8963,0.43370,0.8742,0.000064
23,0.40813,0.9006,0.41084,0.8982,0.000064
24,0.40414,0.9035,0.39390,0.9178,0.000064
25,0.40181,0.9070,0.39784,0.9126,0.000064
26,0.40077,0.9090,0.41897,0.8888,0.000064
27,0.39611,0.9137,0.40388,0.9062,0.000064
28,0.39580,0.9139,0.38418,0.9262,0.000064
29,0.39127,0.9178,0.39455,0.9156,0.000064
30,0.38876,0.9208,0.40460,0.9048,0.000064
31,0.38114,0.9284,0.39014,0.9188,0.000051
32,0.38601,0.9235,0.38333,0.9272,0.000051
33,0.38260,0.9275,0.37409,0.9368,0.000051
34,0.37994,0.9304,0.37860,0.9326,0.000051
35,0.37935,0.9314,0.38294,0.9250,0.000051
36,0.37664,0.9342,0.38419,0.9260,0.000051
37,0.37937,0.9311,0.38489,0.9252,0.000051
38,0.37528,0.9352,0.37292,0.9378,0.000051
39,0.37358,0.9357,0.36491,0.9452,0.000051
40,0.37217,0.9382,0.37247,0.9364,0.000051
41,0.36975,0.9404,0.39416,0.9162,0.000041
42,0.36665,0.9437,0.36283,0.9492,0.000041
43,0.36570,0.9456,0.36608,0.9448,0.000041
44,0.36645,0.9449,0.36406,0.9476,0.000041
45,0.36590,0.9449,0.36449,0.9458,0.000041
46,0.36560,0.9445,0.35915,0.9514,0.000041
47,0.36456,0.9476,0.36249,0.9496,0.000041
48,0.36396,0.9476,0.36671,0.9428,0.000041
49,0.36376,0.9477,0.36464,0.9450,0.000041
50,0.36450,0.9476,0.35780,0.9540,0.000041
51,0.35948,0.9524,0.36455,0.9462,0.000033
52,0.36177,0.9497,0.36945,0.9416,0.000033
53,0.35757,0.9544,0.35825,0.9532,0.000033
54,0.35772,0.9538,0.36102,0.9506,0.000033
55,0.35701,0.9545,0.36646,0.9446,0.000033
56,0.35790,0.9529,0.36137,0.9500,0.000033
57,0.35620,0.9556,0.35364,0.9584,0.000033
58,0.35583,0.9566,0.35513,0.9562,0.000033
59,0.35639,0.9549,0.36270,0.9484,0.000033
60,0.35501,0.9563,0.36602,0.9458,0.000033
61,0.35308,0.9589,0.36431,0.9470,0.000026
62,0.35165,0.9602,0.36060,0.9512,0.000026
63,0.35164,0.9594,0.35539,0.9568,0.000026
64,0.35155,0.9614,0.35302,0.9590,0.000026
65,0.35163,0.9595,0.35471,0.9572,0.000026
66,0.35118,0.9611,0.35143,0.9602,0.000026
67,0.34903,0.9626,0.35694,0.9534,0.000026
68,0.35129,0.9606,0.35222,0.9594,0.000026
69,0.35044,0.9617,0.35589,0.9554,0.000026
70,0.35112,0.9605,0.35620,0.9550,0.000026
71,0.34738,0.9647,0.35119,0.9616,0.000021
72,0.34654,0.9654,0.35110,0.9620,0.000021
73,0.34765,0.9639,0.35247,0.9590,0.000021
74,0.34816,0.9640,0.35194,0.9596,0.000021
75,0.34681,0.9656,0.35046,0.9622,0.000021
76,0.34596,0.9661,0.35213,0.9598,0.000021
77,0.34757,0.9646,0.35323,0.9582,0.000021
78,0.34553,0.9667,0.35123,0.9604,0.000021
79,0.34561,0.9664,0.35089,0.9618,0.000021
80,0.34662,0.9654,0.35140,0.9610,0.000021
81,0.34570,0.9663,0.35100,0.9604,0.000017
82,0.34345,0.9697,0.35241,0.9602,0.000017
83,0.34168,0.9715,0.35150,0.9600,0.000017
84,0.34320,0.9686,0.35475,0.9578,0.000017
85,0.34355,0.9687,0.35332,0.9584,0.000017
86,0.34184,0.9704,0.35583,0.9552,0.000017
87,0.34175,0.9700,0.35215,0.9600,0.000017
88,0.34373,0.9685,0.34879,0.9622,0.000017
89,0.33983,0.9727,0.35103,0.9600,0.000017
90,0.34096,0.9718,0.35055,0.9608,0.000017
91,0.33962,0.9726,0.34728,0.9642,0.000013
92,0.33980,0.9724,0.34880,0.9630,0.000013
93,0.33908,0.9736,0.34829,0.9634,0.000013
94,0.34018,0.9718,0.34865,0.9628,0.000013
95,0.34000,0.9722,0.35121,0.9612,0.000013
96,0.34124,0.9705,0.34884,0.9626,0.000013
97,0.34081,0.9714,0.34693,0.9648,0.000013
98,0.33797,0.9746,0.35053,0.9602,0.000013
99,0.33999,0.9721,0.34825,0.9628,0.000013
100,0.33841,0.9744,0.34782,0.9640,0.000013
101,0.33810,0.9748,0.34657,0.9656,0.000011
102,0.33777,0.9748,0.34806,0.9636,0.000011
103,0.33717,0.9755,0.34727,0.9648,0.000011
104,0.33727,0.9754,0.34626,0.9656,0.000011
105,0.33828,0.9743,0.34752,0.9646,0.000011
106,0.33665,0.9766,0.34651,0.9656,0.000011
107,0.33647,0.9764,0.34694,0.9648,0.000011
108,0.33616,0.9762,0.35007,0.9622,0.000011
109,0.33791,0.9744,0.34757,0.9638,0.000011
110,0.33631,0.9765,0.34858,0.9628,0.000011
