epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,2.25335,0.1920,2.23572,0.2144,0.001000
2,2.22296,0.2262,2.31560,0.1233,0.001000
3,2.22009,0.2276,2.19793,0.2507,0.001000
4,2.20175,0.2469,2.20277,0.2501,0.001000
5,2.17807,0.2726,2.15173,0.3009,0.001000
6,2.16185,0.2899,2.14177,0.3126,0.001000
7,2.14404,0.3084,2.12975,0.3253,0.001000
8,2.14100,0.3121,2.11003,0.3455,0.001000
9,2.12760,0.3264,2.08724,0.3669,0.001000
10,2.10637,0.3474,2.06242,0.3919,0.001000
11,2.09131,0.3630,2.06274,0.3931,0.001000
12,2.07389,0.3817,2.06032,0.3960,0.001000
13,2.03727,0.4160,1.98277,0.4745,0.001000
14,2.01551,0.4396,1.95452,0.5035,0.001000
15,2.01049,0.4448,1.95509,0.5024,0.001000
16,1.99512,0.4607,1.95474,0.5004,0.001000
17,1.98097,0.4743,1.92928,0.5269,0.001000
18,1.97184,0.4848,1.91306,0.5445,0.001000
19,1.95807,0.4982,1.90004,0.5591,0.001000
20,1.95084,0.5051,1.90509,0.5510,0.001000
21,1.95036,0.5067,1.91140,0.5452,0.001000
22,1.94065,0.5166,1.88555,0.5728,0.001000
23,1.92966,0.5274,1.88505,0.5727,0.001000
24,1.91739,0.5406,1.88863,0.5712,0.001000
25,1.91318,0.5445,1.87303,0.5849,0.001000
26,1.90690,0.5499,1.85164,0.6062,0.001000
27,1.89970,0.5582,1.87899,0.5804,0.001000
28,1.89444,0.5623,1.83366,0.6256,0.001000
29,1.88933,0.5683,1.84530,0.6136,0.001000
30,1.87905,0.5794,1.84244,0.6161,0.001000
31,1.87335,0.5849,1.84475,0.6148,0.001000
32,1.86773,0.5904,1.82740,0.6315,0.001000
33,1.86625,0.5924,1.86168,0.5952,0.001000
34,1.87284,0.5848,1.84046,0.6185,0.001000
35,1.86391,0.5952,1.83904,0.6196,0.001000
36,1.85832,0.6000,1.81360,0.6459,0.001000
37,1.85410,0.6041,1.82252,0.6371,0.001000
38,1.84714,0.6118,1.79991,0.6567,0.001000
39,1.84227,0.6163,1.79764,0.6614,0.001000
40,1.83959,0.6186,1.80212,0.6570,0.001000
41,1.83508,0.6229,1.80783,0.6505,0.001000
42,1.83367,0.6246,1.80155,0.6575,0.001000
43,1.83013,0.6291,1.81537,0.6437,0.001000
44,1.82494,0.6340,1.79579,0.6646,0.001000
45,1.82235,0.6364,1.78495,0.6747,0.001000
46,1.81916,0.6393,1.79978,0.6594,0.001000
47,1.81549,0.6434,1.78910,0.6704,0.001000
48,1.81326,0.6456,1.76916,0.6908,0.001000
